year,households_cable_pct,households_streaming_pct,view_share_streaming_pct,view_share_cable_pct,avg_cable_bill_usd,avg_streaming_spend_usd,view_share_broadcast_pct,cable_live_tv_cpi_index
2015,76.0,32.0,,,78.0,,100.0,422.7908333333333
2016,72.33333333333333,38.666666666666664,,,82.66666666666667,,100.0,438.2833333333333
2017,68.66666666666667,45.333333333333336,,,87.33333333333333,,100.0,462.1611666666667
2018,65.0,52.0,,,92.0,38.0,100.0,470.4531666666667
2019,60.5,60.0,19.0,50.0,98.5,45.0,31.0,479.40941666666663
2020,56.0,68.0,32.0,43.0,105.0,52.0,25.0,500.1285833333333
2021,50.0,72.5,35.0,39.0,116.0,56.0,26.0,520.5766666666667
2022,44.0,77.0,38.0,35.0,127.0,60.0,27.0,541.3428333333333
2023,40.0,81.0,39.15,31.1,138.0,61.666666666666664,29.75,569.6026666666667
2024,38.0,82.0,40.3,27.2,142.5,63.333333333333336,32.5,583.029
2025,36.0,83.0,44.8,24.1,147.0,65.0,31.099999999999994,596.8264285714286
